0.r	2
0.popped	none
0.head	0
0.len	0
0.front	none
0.back	none
1.r	3
1.popped	none
1.head	0
1.len	0
1.front	none
1.back	none
2.r	3
2.popped	none
2.head	0
2.len	0
2.front	none
2.back	none
3.r	2
3.popped	none
3.head	0
3.len	0
3.front	none
3.back	none
4.r	0
4.popped	none
4.head	0
4.len	1
4.front	4
4.back	4
5.r	2
5.popped	4
5.head	1
5.len	0
5.front	none
5.back	none
6.r	3
6.popped	none
6.head	1
6.len	0
6.front	none
6.back	none
7.r	3
7.popped	none
7.head	1
7.len	0
7.front	none
7.back	none
8.r	2
8.popped	none
8.head	1
8.len	0
8.front	none
8.back	none
9.r	1
9.popped	none
9.head	0
9.len	1
9.front	9
9.back	9
10.r	0
10.popped	none
10.head	0
10.len	2
10.front	9
10.back	10
11.r	0
11.popped	none
11.head	0
11.len	3
11.front	9
11.back	11
12.r	3
12.popped	11
12.head	0
12.len	2
12.front	9
12.back	10
13.r	0
13.popped	none
13.head	0
13.len	3
13.front	9
13.back	13
14.r	3
14.popped	13
14.head	0
14.len	2
14.front	9
14.back	10
15.r	3
15.popped	10
15.head	0
15.len	1
15.front	9
15.back	9
16.r	3
16.popped	9
16.head	0
16.len	0
16.front	none
16.back	none
17.r	3
17.popped	none
17.head	0
17.len	0
17.front	none
17.back	none
18.r	1
18.popped	none
18.head	7
18.len	1
18.front	18
18.back	18
19.r	3
19.popped	18
19.head	7
19.len	0
19.front	none
19.back	none
20.r	2
20.popped	none
20.head	7
20.len	0
20.front	none
20.back	none
21.r	2
21.popped	none
21.head	7
21.len	0
21.front	none
21.back	none
22.r	3
22.popped	none
22.head	7
22.len	0
22.front	none
22.back	none
23.r	0
23.popped	none
23.head	7
23.len	1
23.front	23
23.back	23
24.r	0
24.popped	none
24.head	7
24.len	2
24.front	23
24.back	24
25.r	2
25.popped	23
25.head	0
25.len	1
25.front	24
25.back	24
26.r	1
26.popped	none
26.head	7
26.len	2
26.front	26
26.back	24
27.r	3
27.popped	24
27.head	7
27.len	1
27.front	26
27.back	26
28.r	0
28.popped	none
28.head	7
28.len	2
28.front	26
28.back	28
29.r	2
29.popped	26
29.head	0
29.len	1
29.front	28
29.back	28
30.r	1
30.popped	none
30.head	7
30.len	2
30.front	30
30.back	28
31.r	3
31.popped	28
31.head	7
31.len	1
31.front	30
31.back	30
32.r	1
32.popped	none
32.head	6
32.len	2
32.front	32
32.back	30
33.r	1
33.popped	none
33.head	5
33.len	3
33.front	33
33.back	30
34.r	1
34.popped	none
34.head	4
34.len	4
34.front	34
34.back	30
35.r	1
35.popped	none
35.head	3
35.len	5
35.front	35
35.back	30
36.r	1
36.popped	none
36.head	2
36.len	6
36.front	36
36.back	30
37.r	0
37.popped	none
37.head	2
37.len	7
37.front	36
37.back	37
38.r	3
38.popped	37
38.head	2
38.len	6
38.front	36
38.back	30
39.r	1
39.popped	none
39.head	1
39.len	7
39.front	39
39.back	30
40.r	3
40.popped	30
40.head	1
40.len	6
40.front	39
40.back	32
41.r	2
41.popped	39
41.head	2
41.len	5
41.front	36
41.back	32
42.r	1
42.popped	none
42.head	1
42.len	6
42.front	42
42.back	32
43.r	3
