0.seed	0
0.mix64	16294208416658607535
0.derive	7086638178683056257
0.draws.0	2065551360
0.draws.1	2713281536
0.draws.2	2148091200
0.draws.3	1917616128
0.draws.4	1369994496
0.draws.5	1954456576
0.draws.6	524628480
0.draws.7	3373705216
0.draws.8	1103727104
0.draws.9	915189760
0.draws.10	1018248192
0.draws.11	89907200
0.unit.0	0x3fdec77400000000
0.unit.1	0x3fe4372c80000000
0.unit.2	0x3fe00128a8000000
0.unit.3	0x3fdc932000000000
0.unit.4	0x3fd46a1d40000000
0.unit.5	0x3fdd1fa900000000
0.unit.6	0x3fbf453200000000
0.unit.7	0x3fe922d500000000
0.unit.8	0x3fd0726280000000
0.unit.9	0x3fcb465800000000
0.unit.10	0x3fce589e00000000
0.unit.11	0x3f956f8000000000
1.seed	1
1.mix64	10451216379200822465
1.derive	16570158482149399474
1.draws.0	2298634240
1.draws.1	1703866368
1.draws.2	4214380544
1.draws.3	3997353984
1.draws.4	3506549760
1.draws.5	2417295360
1.draws.6	3610656768
1.draws.7	304580608
1.draws.8	897465344
1.draws.9	1952540672
1.draws.10	22433792
1.draws.11	349145088
1.unit.0	0x3fe1204c00000000
1.unit.1	0x3fd963bc00000000
1.unit.2	0x3fef664b00000000
1.unit.3	0x3fedc85900000000
1.unit.4	0x3fea203680000000
1.unit.5	0x3fe202a000000000
1.unit.6	0x3feae6c800000000
1.unit.7	0x3fb2278800000000
1.unit.8	0x3fcabf1e00000000
1.unit.9	0x3fdd185a00000000
1.unit.10	0x3f75650000000000
1.unit.11	0x3fb4cf8800000000
2.seed	12345
2.mix64	2454886589211414944
2.derive	13968332365036069398
2.draws.0	2849051136
2.draws.1	4145281024
2.draws.2	2162586112
2.draws.3	1547649536
2.draws.4	2551019520
2.draws.5	3644061696
2.draws.6	213093888
2.draws.7	1746941952
2.draws.8	1480243200
2.draws.9	3461611520
2.draws.10	1113005568
2.draws.11	1544263680
2.unit.0	0x3fe53a2240000000
2.unit.1	0x3feee27f00000000
2.unit.2	0x3fe01cce40000000
2.unit.3	0x3fd70fd080000000
2.unit.4	0x3fe301af00000000
2.unit.5	0x3feb267f00000000
2.unit.6	0x3fa9671c00000000
2.unit.7	0x3fda080e00000000
2.unit.8	0x3fd60eae00000000
2.unit.9	0x3fe9ca8000000000
2.unit.10	0x3fd095c780000000
2.unit.11	0x3fd702e600000000
3.seed	11400714819323198485
3.mix64	7960286522194355700
3.derive	14182696943939194641
3.draws.0	2713281536
3.draws.1	2148091200
3.draws.2	1917616128
3.draws.3	1369994496
3.draws.4	1954456576
3.draws.5	524628480
3.draws.6	3373705216
3.draws.7	1103727104
3.draws.8	915189760
3.draws.9	1018248192
3.draws.10	89907200
3.draws.11	3770406912
3.unit.0	0x3fe4372c80000000
3.unit.1	0x3fe00128a8000000
3.unit.2	0x3fdc932000000000
3.unit.3	0x3fd46a1d40000000
3.unit.4	0x3fdd1fa900000000
3.unit.5	0x3fbf453200000000
3.unit.6	0x3fe922d500000000
3.unit.7	0x3fd0726280000000
3.unit.8	0x3fcb465800000000
3.unit.9	0x3fce589e00000000
3.unit.10	0x3f956f8000000000
3.unit.11	0x3fec177b00000000
4.seed	18446744073709551615
4.mix64	16490336266968443936
4.derive	2143275892478316557
4.draws.0	459616256
4.draws.1	3690364928
4.draws.2	2993848832
4.draws.3	3416884224
4.draws.4	1468033024
4.draws.5	2755180544
4.draws.6	34095104
4.draws.7	2745073664
4.draws.8	359534592
4.draws.9	2076012064
4.draws.10	510775072
4.draws.11	3540148224
4.unit.0	0x3fbb653000000000
4.unit.1	0x3feb7ed000000000
4.unit.2	0x3fe64e5040000000
4.unit.3	0x3fe9753080000000
4.unit.4	0x3fd5e01a00000000
4.unit.5	0x3fe4871700000000
4.unit.6	0x3f80420000000000
4.unit.7	0x3fe473d000000000
4.unit.8	0x3fb56e1000000000
4.unit.9	0x3fdeef5b88000000
4.unit.10	0x3fbe71cf20000000
4.unit.11	0x3fea604c00000000
5.seed	15042267673225134081
5.mix64	9631864971913077788
5.derive	5173377767506941483
5.draws.0	4285016064
5.draws.1	1138876416
5.draws.2	3826543744
5.draws.3	1825095424
5.draws.4	1409364992
5.draws.5	3551026176
5.draws.6	748674560
5.draws.7	2917985280
5.draws.8	2688378880
5.draws.9	4012670976
5.draws.10	2955548672
5.draws.11	3826725888
5.unit.0	0x3fefed0500000000
5.unit.1	0x3fd0f87800000000
5.unit.2	0x3fec828d90000000
5.unit.3	0x3fdb322fc0000000
5.unit.4	0x3fd5004d00000000
5.unit.5	0x3fea750b80000000
5.unit.6	0x3fc64fef00000000
5.unit.7	0x3fe5bd9d80000000
5.unit.8	0x3fe407ad00000000
5.unit.9	0x3fede59000000000
5.unit.10	0x3fe6054300000000
5.unit.11	0x3fec82e680000000
