packets.0.name	mixed
packets.0.packet	5854500000000000d8000000200000000800000000000000480000008a00000050000000b900000060000000980000000000000000000000680000008b0000007000000020000000b8000000aa000000c8000000b30000002a00000000000000070000000000000068c3a9226c6c6f00010000000000000000000000000100000200000000000000180000008a0000002000000020000000010000000000000002000000000000001800000093000000200000008a0000000000000000000440fdffffff00000000020000000000000007000000f8ffffff0100000000000000000000000000e03f
packets.0.type	32
packets.0.deep	[number:42,string:68c3a9226c6c6f,boolean:true,null,bigint:1099511627776,[number:1,[number:2.5,number:-3]],Int32Array(7 -8),Float64Array(0.5)]
packets.0.shallow.0	138:number:42
packets.0.shallow.1	185:string:68c3a9226c6c6f
packets.0.shallow.2	152:boolean:true
packets.0.shallow.3	0:null
packets.0.shallow.4	139:bigint:1099511627776
packets.0.shallow.5	32:branch
packets.0.shallow.6	170:Int32Array(7 -8)
packets.0.shallow.7	179:Float64Array(0.5)
packets.1.name	typed
packets.1.packet	5854500000000000a0000000200000000a00000000000000580000008000000059000000880000005a000000810000005c000000890000006000000082000000680000008b0000007000000083000000780000009200000080000000b800000090000000b9000000ff80ffff00800000ffffffff00000000ffffffffffffffffffffffffffffffffcdcc8c3f0000000009000000000000000d0100000000000000000000000000000000000000000000
packets.1.type	32
packets.1.deep	[number:255,number:-128,number:65535,number:-32768,number:4294967295,bigint:-1,bigint:18446744073709551615,number:1.100000023841858,Uint8Array(1 0 1 1 0 0 0 0 1),string:]
packets.1.shallow.0	128:number:255
packets.1.shallow.1	136:number:-128
packets.1.shallow.2	129:number:65535
packets.1.shallow.3	137:number:-32768
packets.1.shallow.4	130:number:4294967295
packets.1.shallow.5	139:bigint:-1
packets.1.shallow.6	131:bigint:18446744073709551615
packets.1.shallow.7	146:number:1.100000023841858
packets.1.shallow.8	184:Uint8Array(1 0 1 1 0 0 0 0 1)
packets.1.shallow.9	185:string:
packets.2.name	nulls
packets.2.packet	585450000000000028000000200000000400000000000000000000008200000000000000b900000000000000200000000000000000000000
packets.2.type	32
packets.2.deep	[null,null,null,null]
packets.2.shallow.0	130:null
packets.2.shallow.1	185:null
packets.2.shallow.2	32:null
packets.2.shallow.3	0:null
packets.3.name	root_null
packets.3.packet	58545000000000000000000093000000
packets.3.type	147
packets.3.deep	null
packets.4.name	graft
packets.4.packet	5854500000000000500000002000000002000000000000001800000020000000480000008a000000020000000000000018000000b9000000280000008a0000000500000000000000696e6e657200000001000000000000000300000000000000
packets.4.type	32
packets.4.deep	[[string:696e6e6572,number:1],number:3]
packets.4.shallow.0	32:branch
packets.4.shallow.1	138:number:3
malformed.truncated_header	errno:-74
malformed.bad_magic	errno:-74
malformed.truncated_payload	errno:-74
huge.0.packet	585450000000000010000000b9000000ffffffff000000006162000000000000
huge.0.read	errno:-74
huge.1.packet	585450000000000010000000b8000000ffffffff000000000500000000000000
huge.1.read	errno:-74
align.0	ok:2147483648
align.1	ok:4294967288
align.2	errno:-75
caps.0	errno:-75
caps.1	errno:-75
caps.2	errno:-75
caps.3	errno:-75
caps_utf8.0	errno:-75
caps_utf8.1	errno:-75
caps_utf8.2	585450000000000018000000b90000000900000000000000ed959ceab880ed959c00000000000000
